,as_is_hash_1000,floor_hash_1000,length_hash_1000,sum_hash_1000,poly_hash_1000,murmur_hash_1000
0,109,72743,2,140,102,96
1,108,34,210,149,85,95
2,98,14,412,123,103,86
3,106,15,380,139,106,92
4,99,12,409,116,111,97
5,86,10,362,146,98,114
6,87,10,369,138,98,99
7,109,14,357,152,95,92
8,98,11,360,128,95,111
9,93,3,389,131,87,95
10,111,7,369,122,112,101
11,102,6,369,134,83,98
12,100,7,360,150,100,97
13,89,9,380,99,101,117
14,99,5,385,138,119,96
15,100,5,370,136,90,104
16,96,9,341,152,112,107
17,96,3,375,131,111,93
18,101,4,404,144,95,99
19,100,2,383,143,110,89
20,118,1,377,129,103,84
21,104,3,372,135,93,80
22,89,5,358,155,82,105
23,108,6,373,125,101,115
24,75,6,373,138,103,103
25,81,1,338,142,104,111
26,111,3,362,134,105,104
27,96,8,341,160,116,110
28,99,3,369,136,76,107
29,104,2,352,129,109,92
30,96,6,359,113,98,87
31,83,3,335,134,79,106
32,89,5,88085,138,121,98
33,106,6,0,141,88,110
34,111,5,0,150,112,95
35,101,2,0,133,103,103
36,114,4,0,141,106,98
37,95,2,0,151,116,100
38,104,5,0,144,122,115
39,95,5,0,134,112,117
40,117,3,0,124,84,106
41,97,3,0,131,94,97
42,106,2,0,134,95,88
43,110,2,0,127,98,112
44,66,4,0,137,93,100
45,97,3,0,149,114,95
46,118,7,0,153,100,103
47,93,4,0,127,114,90
48,101,6,0,123,99,122
49,98,3,0,137,96,90
50,93,1,0,132,106,129
51,90,2,0,166,113,97
52,108,6,0,134,101,92
53,110,3,0,182,90,113
54,88,2,0,149,92,98
55,85,4,0,159,85,91
56,102,8,0,132,102,107
57,113,2,0,171,109,95
58,81,4,0,133,105,99
59,94,4,0,150,87,100
60,101,5,0,143,85,98
61,92,5,0,154,86,97
62,103,1,0,113,83,90
63,89,2,0,148,108,91
64,84,7,0,141,88,118
65,111,1,0,112,107,95
66,102,2,0,145,102,102
