bucket_id,size
0,90
1,113
2,105
3,104
4,98
5,102
6,107
7,96
8,112
9,94
10,105
11,92
12,96
13,112
14,89
15,86
16,104
17,92
18,108
19,85
20,96
21,116
22,91
23,103
24,95
25,98
26,94
27,103
28,103
29,96
30,90
31,83
32,102
33,96
34,96
35,92
36,88
37,111
38,115
39,107
40,81
41,109
42,92
43,97
44,102
45,97
46,101
47,101
48,104
49,99
50,93
51,108
52,98
53,105
54,115
55,94
56,98
57,110
58,102
59,85
60,104
61,104
62,105
63,100
64,75
65,100
66,106
67,103
68,97
69,95
70,102
71,94
72,84
73,113
74,97
75,103
76,109
77,98
78,79
79,99
80,94
81,113
82,99
83,112
84,81
85,106
86,102
87,97
88,103
89,103
90,97
91,99
92,91
93,93
94,110
95,95
96,97
97,93
98,102
99,111
100,87
101,104
102,104
103,78
104,76
105,84
106,105
107,92
108,95
109,107
110,93
111,101
112,96
113,113
114,103
115,106
116,102
117,100
118,101
119,100
120,95
121,91
122,107
123,80
124,104
125,100
126,92
127,116
128,100
129,108
130,88
131,121
132,107
133,110
134,104
135,93
136,90
137,101
138,111
139,102
140,121
141,102
142,104
143,106
144,117
145,100
146,105
147,102
148,104
149,94
150,88
151,102
152,103
153,108
154,99
155,96
156,102
157,99
158,99
159,106
160,82
161,104
162,101
163,87
164,89
165,104
166,104
167,100
168,86
169,112
170,108
171,118
172,110
173,121
174,113
175,106
176,113
177,90
178,103
179,88
180,91
181,115
182,101
183,113
184,113
185,87
186,104
187,82
188,104
189,92
190,88
191,112
192,106
193,90
194,72
195,91
196,101
197,102
198,106
199,108
200,100
201,105
202,105
203,97
204,104
205,70
206,91
207,99
208,100
209,107
210,113
211,105
212,91
213,101
214,82
215,101
216,103
217,100
218,99
219,96
220,86
221,113
222,102
223,90
224,117
225,88
226,91
227,95
228,83
229,83
230,89
231,104
232,97
233,111
234,88
235,96
236,101
237,105
238,89
239,104
240,86
241,96
242,101
243,106
244,99
245,102
246,122
247,99
248,99
249,91
250,103
251,96
252,93
253,89
254,90
255,116
256,103
257,94
258,89
259,93
260,117
261,105
262,115
263,112
264,102
265,100
266,127
267,112
268,87
269,106
270,105
271,110
272,115
273,99
274,105
275,87
276,116
277,96
278,116
279,99
280,97
281,93
282,99
283,117
284,95
285,97
286,103
287,87
288,91
289,103
290,79
291,107
292,109
293,102
294,99
295,97
296,72
297,98
298,88
299,101
300,109
301,97
302,98
303,101
304,104
305,104
306,105
307,97
308,95
309,97
310,101
311,103
312,108
313,105
314,102
315,104
316,90
317,121
318,101
319,105
320,92
321,110
322,88
323,104
324,119
325,108
326,100
327,98
328,101
329,100
330,128
331,96
332,94
333,100
334,117
335,99
336,89
337,88
338,109
339,96
340,88
341,124
342,99
343,87
344,106
345,98
346,98
347,126
348,110
349,95
350,102
351,85
352,78
353,107
354,88
355,98
356,93
357,96
358,107
359,105
360,90
361,93
362,95
363,113
364,98
365,107
366,115
367,110
368,115
369,101
370,84
371,92
372,103
373,91
374,98
375,99
376,90
377,113
378,103
379,94
380,96
381,93
382,101
383,85
384,97
385,92
386,92
387,100
388,96
389,93
390,98
391,91
392,81
393,102
394,90
395,101
396,94
397,80
398,75
399,94
400,91
401,92
402,86
403,94
404,102
405,106
406,94
407,86
408,119
409,96
410,94
411,107
412,114
413,96
414,86
415,92
416,98
417,93
418,93
419,94
420,79
421,86
422,98
423,101
424,104
425,108
426,90
427,101
428,88
429,109
430,104
431,99
432,95
433,97
434,89
435,99
436,101
437,104
438,113
439,114
440,99
441,93
442,103
443,91
444,88
445,114
446,91
447,91
448,112
449,84
450,80
451,103
452,87
453,96
454,100
455,110
456,117
457,91
458,96
459,113
460,104
461,97
462,96
463,105
464,96
465,91
466,101
467,99
468,94
469,91
470,97
471,96
472,100
473,109
474,116
475,101
476,106
477,98
478,106
479,93
480,92
481,87
482,101
483,90
484,102
485,104
486,102
487,103
488,112
489,114
490,111
491,106
492,88
493,96
494,90
495,105
496,81
497,96
498,94
499,106
500,112
501,96
502,103
503,107
504,112
505,95
506,110
507,113
508,93
509,90
510,92
511,115
512,104
513,76
514,96
515,100
516,104
517,96
518,115
519,113
520,105
521,114
522,100
523,94
524,103
525,92
526,86
527,77
528,112
529,103
530,118
531,116
532,91
533,102
534,91
535,104
536,87
537,96
538,100
539,91
540,84
541,80
542,97
543,98
544,101
545,92
546,104
547,99
548,90
549,106
550,91
551,121
552,84
553,116
554,112
555,103
556,75
557,97
558,90
559,102
560,85
561,92
562,92
563,98
564,108
565,92
566,112
567,105
568,94
569,91
570,113
571,112
572,98
573,109
574,100
575,90
576,100
577,87
578,100
579,115
580,108
581,87
582,97
583,99
584,95
585,91
586,100
587,101
588,113
589,99
590,124
591,95
592,115
593,98
594,125
595,91
596,114
597,115
598,99
599,110
600,102
601,104
602,114
603,115
604,88
605,89
606,108
607,100
608,109
609,97
610,110
611,99
612,104
613,107
614,84
615,96
616,89
617,100
618,94
619,109
620,101
621,113
622,103
623,110
624,97
625,100
626,90
627,95
628,99
629,122
630,106
631,109
632,84
633,88
634,94
635,87
636,87
637,101
638,101
639,107
640,100
641,98
642,98
643,104
644,103
645,119
646,109
647,106
648,94
649,93
650,101
651,102
652,95
653,108
654,84
655,108
656,122
657,104
658,117
659,92
660,98
661,90
662,103
663,79
664,109
665,101
666,100
667,102
668,83
669,84
670,91
671,97
672,101
673,83
674,112
675,84
676,81
677,94
678,114
679,121
680,98
681,109
682,91
683,81
684,97
685,105
686,121
687,106
688,104
689,105
690,91
691,95
692,101
693,98
694,104
695,99
696,103
697,107
698,123
699,106
700,84
701,87
702,88
703,103
704,104
705,109
706,106
707,94
708,108
709,116
710,101
711,100
712,75
713,104
714,93
715,113
716,92
717,87
718,111
719,89
720,97
721,101
722,96
723,109
724,106
725,87
726,90
727,98
728,94
729,89
730,86
731,97
732,94
733,97
734,109
735,109
736,91
737,107
738,100
739,109
740,97
741,98
742,87
743,117
744,91
745,105
746,99
747,115
748,99
749,87
750,96
751,112
752,101
753,117
754,124
755,95
756,102
757,96
758,90
759,112
760,96
761,88
762,98
763,110
764,119
765,108
766,106
767,98
768,107
769,128
770,99
771,91
772,86
773,103
774,113
775,99
776,104
777,114
778,89
779,96
780,100
781,114
782,80
783,102
784,95
785,77
786,107
787,95
788,96
789,108
790,95
791,101
792,85
793,96
794,100
795,89
796,76
797,99
798,102
799,96
800,95
801,109
802,94
803,91
804,104
805,104
806,100
807,93
808,102
809,90
810,84
811,102
812,104
813,94
814,78
815,104
816,98
817,113
818,105
819,109
820,100
821,97
822,105
823,120
824,100
825,91
826,121
827,87
828,114
829,115
830,91
831,108
832,103
833,92
834,97
835,88
836,88
837,110
838,82
839,112
840,86
841,93
842,111
843,128
844,106
845,94
846,112
847,101
848,93
849,111
850,103
851,93
852,97
853,110
854,99
855,111
856,93
857,85
858,118
859,118
860,83
861,104
862,98
863,107
864,119
865,78
866,101
867,93
868,110
869,91
870,107
871,87
872,97
873,99
874,90
875,106
876,96
877,98
878,109
879,104
880,108
881,107
882,92
883,106
884,102
885,98
886,99
887,111
888,101
889,91
890,103
891,113
892,108
893,94
894,103
895,98
896,90
897,102
898,98
899,95
900,83
901,89
902,111
903,80
904,106
905,90
906,110
907,104
908,82
909,106
910,98
911,106
912,87
913,105
914,104
915,101
916,90
917,95
918,84
919,100
920,86
921,93
922,124
923,103
924,98
925,91
926,99
927,105
928,105
929,119
930,94
931,106
932,98
933,101
934,97
935,95
936,93
937,98
938,102
939,117
940,93
941,112
942,95
943,93
944,103
945,106
946,103
947,104
948,94
949,92
950,88
951,103
952,102
953,93
954,89
955,103
956,103
957,110
958,103
959,91
960,86
961,103
962,122
963,105
964,92
965,94
966,113
967,94
968,98
969,101
970,114
971,105
972,83
973,115
974,102
975,105
976,99
977,103
978,110
979,98
980,102
981,102
982,88
983,88
984,74
985,102
986,84
987,84
988,100
989,102
990,90
991,114
992,96
993,92
994,113
995,121
996,95
997,106
998,116
999,116
