bucket_id,size
0,102
1,111
2,108
3,103
4,96
5,107
6,111
7,115
8,92
9,96
10,97
11,95
12,86
13,114
14,98
15,104
16,112
17,97
18,108
19,100
20,110
21,101
22,83
23,81
24,103
25,107
26,91
27,104
28,115
29,101
30,99
31,96
32,106
33,98
34,107
35,86
36,116
37,111
38,104
39,115
40,91
41,108
42,106
43,118
44,86
45,103
46,96
47,108
48,104
49,87
50,99
51,117
52,98
53,109
54,94
55,109
56,86
57,87
58,101
59,100
60,109
61,87
62,92
63,105
64,105
65,81
66,99
67,98
68,111
69,99
70,111
71,115
72,91
73,93
74,79
75,93
76,99
77,107
78,88
79,109
80,97
81,110
82,106
83,86
84,122
85,116
86,101
87,112
88,102
89,105
90,106
91,90
92,109
93,87
94,102
95,88
96,96
97,91
98,91
99,94
100,95
101,103
102,117
103,79
104,103
105,129
106,102
107,97
108,115
109,108
110,93
111,101
112,103
113,95
114,113
115,98
116,92
117,85
118,94
119,105
120,95
121,105
122,107
123,111
124,86
125,93
126,101
127,124
128,87
129,100
130,84
131,101
132,88
133,99
134,101
135,100
136,84
137,86
138,92
139,118
140,94
141,82
142,96
143,106
144,98
145,109
146,117
147,95
148,98
149,112
150,99
151,89
152,113
153,96
154,110
155,97
156,112
157,103
158,80
159,102
160,91
161,111
162,110
163,90
164,107
165,108
166,108
167,82
168,97
169,91
170,91
171,115
172,103
173,96
174,91
175,90
176,94
177,104
178,90
179,94
180,114
181,107
182,101
183,83
184,95
185,103
186,107
187,99
188,103
189,109
190,107
191,126
192,99
193,94
194,101
195,88
196,82
197,116
198,114
199,93
200,97
201,78
202,78
203,93
204,98
205,100
206,102
207,95
208,83
209,92
210,106
211,104
212,121
213,98
214,84
215,88
216,99
217,90
218,94
219,124
220,99
221,109
222,102
223,102
224,101
225,109
226,98
227,82
228,113
229,86
230,87
231,91
232,95
233,111
234,116
235,100
236,106
237,83
238,110
239,107
240,111
241,105
242,106
243,96
244,92
245,104
246,103
247,106
248,120
249,96
250,96
251,90
252,103
253,92
254,106
255,80
256,94
257,90
258,82
259,97
260,101
261,87
262,83
263,107
264,98
265,118
266,98
267,85
268,87
269,89
270,88
271,105
272,96
273,80
274,97
275,106
276,110
277,108
278,98
279,92
280,117
281,104
282,105
283,113
284,115
285,114
286,98
287,94
288,125
289,92
290,105
291,98
292,96
293,116
294,90
295,96
296,87
297,106
298,108
299,131
300,117
301,105
302,104
303,94
