bucket_id,size
0,109
1,108
2,98
3,106
4,99
5,86
6,87
7,109
8,98
9,93
10,111
11,102
12,100
13,89
14,99
15,100
16,96
17,96
18,101
19,100
20,118
21,104
22,89
23,108
24,75
25,81
26,111
27,96
28,99
29,104
30,96
31,83
32,89
33,106
34,111
35,101
36,114
37,95
38,104
39,95
40,117
41,97
42,106
43,110
44,66
45,97
46,118
47,93
48,101
49,98
50,93
51,90
52,108
53,110
54,88
55,85
56,102
57,113
58,81
59,94
60,101
61,92
62,103
63,89
64,84
65,111
66,102
67,104
68,105
69,98
70,110
71,104
72,94
73,105
74,93
75,102
76,113
77,97
78,87
79,100
80,95
81,92
82,95
83,122
84,105
85,102
86,108
87,87
88,89
89,102
90,100
91,95
92,113
93,98
94,85
95,103
96,85
97,101
98,85
99,107
100,102
101,94
102,99
103,88
104,97
105,90
106,102
107,91
108,81
109,113
110,102
111,95
112,88
113,88
114,103
115,105
116,100
117,99
118,97
119,106
120,123
121,122
122,99
123,100
124,85
125,89
126,110
127,88
128,110
129,95
130,116
131,114
132,89
133,89
134,100
135,107
136,93
137,106
138,100
139,99
140,83
141,106
142,118
143,104
144,87
145,107
146,111
147,110
148,94
149,92
150,89
151,118
152,79
153,99
154,104
155,101
156,108
157,103
158,91
159,111
160,77
161,108
162,103
163,89
164,105
165,117
166,118
167,103
168,108
169,113
170,117
171,121
172,113
173,98
174,93
175,104
176,101
177,101
178,96
179,86
180,109
181,110
182,100
183,89
184,114
185,91
186,93
187,93
188,85
189,107
190,99
191,100
192,94
193,104
194,102
195,101
196,80
197,95
198,89
199,102
200,97
201,108
202,102
203,109
204,87
205,102
206,83
207,111
208,104
209,117
210,124
211,98
212,100
213,106
214,115
215,94
216,98
217,95
218,115
219,113
220,100
221,105
222,109
223,118
224,103
225,96
226,88
227,92
228,95
229,106
230,88
231,108
232,92
233,103
234,104
235,94
236,86
237,88
238,116
239,109
240,81
241,98
242,114
243,91
244,90
245,100
246,97
247,103
248,96
249,97
250,114
251,106
252,85
253,94
254,98
255,77
256,108
257,86
258,119
259,116
260,98
261,84
262,99
263,100
264,99
265,108
266,97
267,111
268,86
269,110
270,87
271,121
272,74
273,100
274,98
275,101
276,106
277,96
278,96
279,123
280,93
281,84
282,107
283,102
284,102
285,107
286,100
287,108
288,99
289,91
290,92
291,107
292,101
293,114
294,91
295,91
296,94
297,101
298,96
299,101
300,100
301,92
302,103
303,100
304,97
305,115
306,94
307,93
308,95
309,104
310,100
311,112
312,85
313,102
314,107
315,98
316,105
317,106
318,108
319,103
320,109
321,112
322,107
323,104
324,112
325,100
326,105
327,121
328,88
329,115
330,96
331,93
332,92
333,95
334,104
335,90
336,102
337,114
338,100
339,119
340,101
341,104
342,113
343,101
344,96
345,89
346,84
347,94
348,102
349,102
350,100
351,119
352,103
353,101
354,95
355,115
356,98
357,94
358,104
359,112
360,118
361,109
362,119
363,99
364,96
365,116
366,89
367,100
368,97
369,110
370,85
371,101
372,83
373,114
374,85
375,97
376,109
377,96
378,93
379,106
380,113
381,105
382,92
383,94
384,112
385,89
386,95
387,101
388,93
389,117
390,99
391,102
392,98
393,101
394,90
395,110
396,106
397,113
398,111
399,101
400,102
401,101
402,111
403,120
404,89
405,104
406,93
407,91
408,103
409,93
410,112
411,116
412,81
413,83
414,101
415,96
416,77
417,95
418,88
419,91
420,106
421,103
422,83
423,103
424,102
425,88
426,102
427,98
428,97
429,109
430,104
431,100
432,98
433,97
434,97
435,124
436,76
437,113
438,90
439,107
440,100
441,92
442,106
443,96
444,92
445,85
446,100
447,110
448,104
449,83
450,111
451,95
452,103
453,109
454,89
455,116
456,92
457,103
458,85
459,93
460,88
461,94
462,93
463,91
464,121
465,88
466,122
467,87
468,91
469,103
470,91
471,90
472,118
473,94
474,100
475,91
476,101
477,115
478,111
479,108
480,97
481,97
482,94
483,105
484,94
485,100
486,118
487,112
488,89
489,94
490,115
491,87
492,80
493,97
494,81
495,107
496,104
497,85
498,110
499,106
500,91
501,88
502,91
503,88
504,110
505,90
506,119
507,108
508,93
509,92
510,105
511,100
512,79
513,100
514,117
515,89
516,103
517,85
518,128
519,92
520,103
521,76
522,112
523,92
524,83
525,103
526,110
527,89
528,101
529,85
530,102
531,109
532,82
533,93
534,97
535,81
536,108
537,83
538,88
539,103
540,97
541,101
542,103
543,117
544,86
545,110
546,93
547,94
548,111
549,99
550,120
551,98
552,107
553,96
554,96
555,98
556,99
557,89
558,122
559,89
560,95
561,107
562,105
563,89
564,90
565,109
566,100
567,107
568,102
569,97
570,81
571,108
572,102
573,113
574,104
575,104
576,120
577,103
578,105
579,82
580,99
581,131
582,105
583,99
584,88
585,94
586,105
587,97
588,80
589,94
590,85
591,115
592,93
593,104
594,109
595,91
596,102
597,103
598,88
599,94
600,87
601,89
602,131
603,90
604,89
605,108
606,125
607,97
608,82
609,115
610,110
611,101
612,116
613,99
614,104
615,101
616,93
617,88
618,98
619,113
620,97
621,99
622,82
623,106
624,110
625,101
626,84
627,86
628,110
629,97
630,92
631,72
632,103
633,115
634,103
635,106
636,113
637,114
638,81
639,82
640,93
641,111
642,104
643,102
644,95
645,93
646,94
647,103
648,100
649,97
650,106
651,85
652,90
653,95
654,101
655,113
656,93
657,86
658,115
659,107
660,97
661,107
662,85
663,104
664,94
665,79
666,89
667,97
668,102
669,90
670,119
671,101
672,105
673,100
674,117
675,78
676,87
677,97
678,89
679,102
680,89
681,103
682,114
683,105
684,95
685,87
686,94
687,95
688,115
689,89
690,105
691,115
692,106
693,104
694,85
695,98
696,92
697,99
698,102
699,102
700,87
701,92
702,111
703,108
704,98
705,83
706,93
707,124
708,103
709,92
710,104
711,101
712,75
713,101
714,98
715,102
716,92
717,107
718,112
719,107
720,94
721,119
722,109
723,111
724,100
725,100
726,103
727,106
728,101
729,111
730,98
731,110
732,96
733,104
734,102
735,94
736,118
737,110
738,78
739,98
740,90
741,108
742,100
743,101
744,88
745,114
746,100
747,108
748,107
749,105
750,90
751,100
752,98
753,110
754,89
755,100
756,86
757,102
758,97
759,100
760,95
761,74
762,86
763,89
764,114
765,114
766,101
767,99
768,106
769,103
770,85
771,91
772,98
773,100
774,102
775,90
776,95
777,97
778,106
779,101
780,110
781,88
782,93
783,87
784,101
785,100
786,89
787,95
788,85
789,98
790,86
791,94
792,96
793,105
794,99
795,113
796,83
797,96
798,92
799,85
800,94
801,111
802,93
803,93
804,103
805,107
806,97
807,113
808,89
809,92
810,92
811,115
812,92
813,112
814,113
815,108
816,77
817,117
818,90
819,98
820,109
821,105
822,102
823,95
824,88
825,123
826,103
827,85
828,100
829,110
830,102
831,103
832,104
833,106
834,103
835,102
836,94
837,95
838,106
839,102
840,98
841,102
842,105
843,94
844,104
845,96
846,96
847,96
848,92
849,78
850,103
851,95
852,104
853,109
854,96
855,111
856,103
857,89
858,90
859,99
860,85
861,96
862,99
863,92
864,105
865,96
866,103
867,121
868,95
869,93
870,109
871,79
872,102
873,94
874,93
875,96
876,101
877,75
878,93
879,95
880,101
881,101
882,87
883,89
884,114
885,112
886,104
887,127
888,97
889,102
890,110
891,89
892,96
893,86
894,101
895,75
896,101
897,95
898,106
899,96
900,108
901,105
902,102
903,98
904,96
905,91
906,109
907,108
908,106
909,88
910,119
911,123
912,102
913,106
914,94
915,98
916,105
917,94
918,96
919,101
920,102
921,94
922,97
923,96
924,94
925,90
926,112
927,99
928,104
929,98
930,96
931,108
932,113
933,106
934,93
935,105
936,99
937,109
938,100
939,100
940,102
941,93
942,91
943,111
944,105
945,111
946,93
947,103
948,112
949,105
950,99
951,107
952,110
953,93
954,85
955,92
956,99
957,123
958,98
959,99
960,112
961,99
962,87
963,89
964,102
965,102
966,90
967,128
968,97
969,96
970,102
971,98
972,108
973,101
974,102
975,117
976,98
977,98
978,106
979,101
980,91
981,96
982,114
983,104
984,87
985,96
986,90
987,98
988,78
989,98
990,101
991,88
992,99
993,97
994,116
995,115
996,113
997,89
998,93
999,115
