bucket_id,size
0,72743
1,34
2,14
3,15
4,12
5,10
6,10
7,14
8,11
9,3
10,7
11,6
12,7
13,9
14,5
15,5
16,9
17,3
18,4
19,2
20,1
21,3
22,5
23,6
24,6
25,1
26,3
27,8
28,3
29,2
30,6
31,3
32,5
33,6
34,5
35,2
36,4
37,2
38,5
39,5
40,3
41,3
42,2
43,2
44,4
45,3
46,7
47,4
48,6
49,3
50,1
51,2
52,6
53,3
54,2
55,4
56,8
57,2
58,4
59,4
60,5
61,5
62,1
63,2
64,7
65,1
66,2
67,2
68,4
69,2
70,3
71,2
72,6
73,2
74,2
75,0
76,5
77,2
78,3
79,4
80,4
81,2
82,4
83,5
84,4
85,1
86,2
87,4
88,4
89,2
90,0
91,3
92,8
93,4
94,2
95,3
96,5
97,1
98,1
99,4
100,4
101,4
102,5
103,3
104,9
105,2
106,0
107,1
108,4
109,1
110,2
111,4
112,6
113,3
114,1
115,0
116,3
117,3
118,0
119,0
120,11
121,4
122,4
123,1
124,2
125,2
126,2
127,6
128,8
129,3
130,4
131,1
132,5
133,6
134,2
135,5
136,8
137,3
138,4
139,0
140,4
141,1
142,2
143,4
144,8
145,4
146,3
147,2
148,2
149,7
150,5
151,1
152,4
153,1
154,2
155,1
156,0
157,4
158,2
159,4
160,8
161,3
162,2
163,1
164,3
165,1
166,3
167,2
168,5
169,2
170,1
171,1
172,2
173,3
174,1
175,2
176,6
177,3
178,3
179,5
180,7
181,2
182,2
183,0
184,8
185,0
186,2
187,5
188,3
189,2
190,2
191,3
192,7
193,4
194,1
195,2
196,1
197,3
198,1
199,2
200,5
201,5
202,2
203,5
204,4
205,0
206,5
207,0
208,5
209,2
210,3
211,2
212,2
213,6
214,1
215,1
216,7
217,3
218,2
219,3
220,4
221,1
222,3
223,2
224,4
225,4
226,3
227,2
228,1
229,2
230,3
231,3
232,6
233,2
234,3
235,3
236,5
237,1
238,1
239,4
240,10
241,2
242,1
243,3
244,2
245,2
246,4
247,4
248,9
249,2
250,5
251,2
252,6
253,4
254,4
255,1
256,5
257,1
258,3
259,0
260,3
261,5
262,5
263,2
264,9
265,1
266,4
267,2
268,2
269,1
270,3
271,2
272,5
273,3
274,2
275,3
276,4
277,4
278,4
279,1
280,12
281,3
282,1
283,1
284,4
285,3
286,1
287,2
288,9
289,2
290,1
291,3
292,3
293,2
294,3
295,0
296,3
297,2
298,2
299,2
300,2
301,1
302,1
303,1
304,5
305,6
306,0
307,2
308,5
309,4
310,2
311,2
312,3
313,3
314,0
315,0
316,4
317,1
318,4
319,3
320,5
321,0
322,6
323,3
324,2
325,5
326,4
327,2
328,4
329,4
330,5
331,3
332,1
333,3
334,3
335,4
336,2
337,3
338,4
339,5
340,5
341,3
342,3
343,2
344,6
345,1
346,4
347,2
348,2
349,3
350,4
351,1
352,4
353,0
354,1
355,4
356,2
357,0
358,2
359,2
360,5
361,4
362,3
363,2
364,2
365,1
366,1
367,3
368,3
369,4
370,3
371,1
372,1
373,1
374,4
375,3
376,8
377,1
378,2
379,2
380,0
381,3
382,2
383,3
384,5
385,3
386,5
387,0
388,3
389,1
390,1
391,2
392,7
393,2
394,1
395,2
396,5
397,1
398,4
399,2
400,4
401,2
402,2
403,0
404,7
405,1
406,3
407,1
408,8
409,1
410,1
411,2
412,2
413,3
414,0
415,3
416,4
417,2
418,0
419,1
420,3
421,3
422,3
423,5
424,14
425,2
426,2
427,3
428,1
429,6
430,1
431,1
432,6
433,1
434,1
435,6
436,1
437,1
438,2
439,5
440,5
441,6
442,5
443,2
444,3
445,6
446,2
447,5
448,3
449,1
450,2
451,0
452,2
453,4
454,2
455,2
456,7
457,2
458,2
459,4
460,1
461,2
462,4
463,3
464,6
465,3
466,3
467,0
468,3
469,3
470,2
471,2
472,6
473,2
474,4
475,1
476,1
477,2
478,0
479,5
480,4
481,2
482,2
483,4
484,5
485,1
486,1
487,1
488,5
489,3
490,2
491,2
492,3
493,3
494,3
495,6
496,4
497,0
498,3
499,0
500,2
501,2
502,4
503,4
504,5
505,5
506,5
507,4
508,2
509,1
510,3
511,5
512,3
513,3
514,6
515,7
516,2
517,2
518,1
519,0
520,11
521,4
522,2
523,2
524,4
525,3
526,2
527,1
528,5
529,1
530,6
531,2
532,1
533,4
534,1
535,3
536,9
537,0
538,2
539,2
540,2
541,3
542,3
543,2
544,5
545,4
546,2
547,4
548,4
549,3
550,3
551,3
552,2
553,4
554,2
555,1
556,4
557,1
558,4
559,3
560,8
561,1
562,1
563,3
564,5
565,2
566,0
567,6
568,3
569,5
570,2
571,1
572,2
573,3
574,2
575,4
576,6
577,1
578,5
579,4
