bucket_id,size
0,97
1,95
2,112
3,113
4,75
5,110
6,81
7,104
8,102
9,101
10,96
11,99
12,92
13,104
14,89
15,101
16,101
17,99
18,102
19,100
20,102
21,91
22,102
23,106
24,102
25,93
26,95
27,102
28,95
29,99
30,92
31,97
32,91
33,105
34,95
35,100
36,111
37,94
38,107
39,110
40,113
41,106
42,110
43,112
44,103
45,82
46,102
47,89
48,105
49,109
50,102
51,122
52,117
53,98
54,103
55,87
56,107
57,89
58,103
59,109
60,107
61,100
62,96
63,106
64,102
65,112
66,103
67,98
68,97
69,87
70,95
71,107
72,109
73,116
74,88
75,95
76,91
77,95
78,96
79,100
80,112
81,106
82,95
83,108
84,96
85,100
86,96
87,96
88,96
89,91
90,98
91,106
92,83
93,106
94,85
95,118
96,103
97,96
98,110
99,114
100,101
101,89
102,87
103,110
104,99
105,95
106,101
107,94
108,104
109,111
110,106
111,113
112,106
113,90
114,96
115,108
116,94
117,108
118,104
119,101
120,94
121,107
122,116
123,94
124,88
125,99
126,100
127,118
128,102
129,105
130,99
131,87
132,113
133,114
134,112
135,100
136,90
137,100
138,104
139,102
140,106
141,85
142,107
143,96
144,89
145,104
146,122
147,119
148,103
149,108
150,108
151,104
152,93
153,102
154,89
155,90
156,118
157,99
158,107
159,98
160,102
161,96
162,94
163,102
164,108
165,107
166,91
167,94
168,105
169,104
170,92
171,101
172,86
173,92
174,95
175,99
176,97
177,114
178,105
179,95
180,106
181,116
182,92
183,98
184,109
185,101
186,99
187,102
188,85
189,94
190,107
191,109
192,115
193,98
194,99
195,106
196,96
197,97
198,104
199,105
200,91
201,104
202,103
203,100
204,103
205,114
206,90
207,117
208,86
209,106
210,118
211,114
212,98
213,78
214,122
215,107
216,87
217,123
218,93
219,93
220,106
221,89
222,98
223,98
224,96
225,98
226,93
227,72
228,99
229,111
230,97
231,116
232,89
233,97
234,100
235,96
236,97
237,102
238,98
239,89
240,96
241,86
242,99
243,93
244,93
245,98
246,107
247,83
248,102
249,98
250,118
251,106
252,88
253,102
254,97
255,91
256,103
257,94
258,90
259,96
260,93
261,101
262,90
263,111
264,108
265,89
266,105
267,103
268,87
269,82
270,96
271,101
272,99
273,106
274,89
275,129
276,104
277,91
278,100
279,105
280,89
281,75
282,92
283,107
284,91
285,104
286,110
287,92
288,74
289,110
290,106
291,88
292,93
293,94
294,101
295,98
296,87
297,90
298,93
299,101
300,97
301,117
302,108
303,104
304,104
305,92
306,94
307,111
308,102
309,103
310,92
311,96
312,81
313,109
314,100
315,101
316,99
317,103
318,88
319,93
320,101
321,111
322,102
323,92
324,103
325,85
326,94
327,117
328,98
329,103
330,88
331,83
332,101
333,104
334,112
335,87
336,99
337,110
338,103
339,100
340,102
341,99
342,93
343,90
344,115
345,93
346,119
347,75
348,96
349,105
350,91
351,99
352,106
353,93
354,91
355,88
356,104
357,87
358,80
359,110
360,90
361,91
362,88
363,111
364,103
