bucket_id,size
0,76
1,107
2,96
3,76
4,106
5,110
6,90
7,90
8,80
9,110
10,87
11,95
12,99
13,101
14,94
15,89
16,88
17,120
18,111
19,93
20,112
21,96
22,102
23,105
24,102
25,88
26,93
27,90
28,116
29,106
30,87
31,125
32,79
33,107
34,97
35,96
36,107
37,99
38,106
39,102
40,92
41,122
42,107
43,94
44,90
45,100
46,94
47,98
48,93
49,106
50,95
51,106
52,101
53,98
54,106
55,116
56,84
57,102
58,103
59,99
60,102
61,103
62,109
63,116
64,84
65,113
66,92
67,90
68,102
69,93
70,103
71,103
72,94
73,84
74,112
75,96
76,94
77,85
78,133
79,111
80,85
81,109
82,125
83,85
84,103
85,98
86,96
87,108
88,73
89,107
90,84
91,95
92,96
93,113
94,107
95,113
96,102
97,94
98,95
99,106
100,109
101,93
102,116
103,104
104,82
105,90
106,95
107,82
108,97
109,101
110,111
111,98
112,79
113,104
114,106
115,108
116,92
117,99
118,92
119,105
120,99
121,112
122,94
123,86
124,98
125,84
126,71
127,97
128,100
129,87
130,97
131,94
132,93
133,83
134,121
135,113
136,89
137,103
138,103
139,95
140,112
141,92
142,97
143,111
144,81
145,98
146,123
147,100
148,99
149,108
150,93
151,104
152,89
153,118
154,111
155,97
156,117
157,101
158,94
159,107
160,77
161,106
162,99
163,101
164,102
165,87
166,103
167,104
168,82
169,103
170,100
171,107
172,100
173,98
174,96
175,87
176,82
177,102
178,89
179,99
180,84
181,102
182,102
183,109
184,98
185,102
186,106
187,94
188,89
189,116
190,106
191,114
192,81
193,115
194,117
195,115
196,80
197,103
198,97
199,88
200,104
201,106
202,104
203,105
204,91
205,82
206,105
207,102
208,91
209,104
210,98
211,110
212,108
213,97
214,104
215,98
216,107
217,99
218,99
219,103
220,108
221,89
222,95
223,93
224,87
225,116
226,112
227,107
228,90
229,78
230,103
231,96
232,93
233,112
234,94
235,83
236,102
237,90
238,94
239,92
240,102
241,114
242,115
243,76
244,101
245,92
246,89
247,101
248,99
249,130
250,96
251,106
252,111
253,95
254,93
255,86
256,80
257,95
258,113
259,108
260,112
261,95
262,118
263,115
264,75
265,100
266,104
267,88
268,107
269,86
270,89
271,83
272,87
273,96
274,120
275,101
276,111
277,93
278,126
279,82
280,82
281,93
282,101
283,100
284,89
285,114
286,102
287,104
288,94
289,106
290,102
291,91
292,92
293,120
294,99
295,93
296,106
297,102
298,101
299,96
300,89
301,88
302,94
303,110
304,95
305,103
306,101
307,76
308,105
309,90
310,94
311,112
312,105
313,96
314,106
315,91
316,101
317,100
318,88
319,88
320,87
321,95
322,108
323,89
324,106
325,101
326,110
327,101
328,90
329,109
330,103
331,114
332,88
333,85
334,111
335,116
336,89
337,108
338,98
339,99
340,105
341,83
342,97
343,98
344,92
345,99
346,115
347,99
348,107
349,116
350,91
351,104
352,97
353,108
354,111
355,88
356,84
357,92
358,96
359,98
360,87
361,114
362,113
363,89
364,75
365,92
366,101
367,97
368,108
369,95
370,114
371,85
372,99
373,91
374,104
375,98
376,95
377,107
378,109
379,93
380,107
381,97
382,74
383,105
384,98
385,115
386,90
387,101
388,89
389,113
390,107
391,110
392,92
393,114
394,99
395,100
396,80
397,96
398,96
399,114
400,81
401,100
402,104
403,82
404,107
405,110
406,115
407,117
408,114
409,101
410,89
411,97
412,102
413,87
414,81
415,101
416,76
417,91
418,96
419,111
420,87
421,94
422,118
423,93
424,73
425,131
426,94
427,79
428,104
429,106
430,97
431,120
432,85
433,103
434,95
435,101
436,112
437,93
438,77
439,104
440,113
441,110
442,95
443,89
444,134
445,111
446,102
447,108
448,83
449,106
450,117
451,94
452,113
453,99
454,110
455,101
456,103
457,92
458,100
459,86
460,103
461,95
462,87
463,118
464,84
465,131
466,102
467,90
468,103
469,91
470,125
471,127
472,94
473,86
474,109
475,95
476,96
477,106
478,113
479,103
480,98
481,98
482,98
483,91
484,90
485,86
486,91
487,115
488,110
489,95
490,102
491,103
492,123
493,101
494,133
495,96
496,75
497,106
498,103
499,85
500,88
501,100
502,111
503,89
504,84
505,118
506,95
507,100
508,115
509,77
510,108
511,94
512,103
513,98
514,106
515,99
516,111
517,96
518,101
519,99
520,90
521,94
522,109
523,102
524,93
525,86
526,102
527,101
528,95
529,103
530,106
531,96
532,107
533,109
534,111
535,105
536,101
537,91
538,97
539,90
540,104
541,111
542,116
543,110
544,85
545,93
546,106
547,85
548,104
549,104
550,97
551,107
552,81
553,95
554,125
555,89
556,100
557,101
558,120
559,113
560,91
561,104
562,112
563,102
564,94
565,88
566,112
567,88
568,95
569,123
570,107
571,89
572,97
573,87
574,120
575,108
576,88
577,102
578,108
579,97
580,86
581,91
582,95
583,115
584,85
585,119
586,113
587,98
588,86
589,95
590,111
591,88
592,77
593,102
594,105
595,96
596,100
597,99
598,95
599,110
600,86
601,95
602,110
603,100
604,103
605,93
606,98
607,103
608,104
609,119
610,114
611,90
612,90
613,104
614,105
615,108
616,75
617,99
618,117
619,94
620,107
621,85
622,93
623,99
624,88
625,100
626,90
627,84
628,93
629,95
630,93
631,101
632,92
633,95
634,98
