bucket_id,size
0,96
1,98
2,104
3,111
4,103
5,89
6,102
7,94
8,107
9,88
10,97
11,98
12,93
13,83
14,104
15,89
16,99
17,108
18,93
19,97
20,98
21,101
22,103
23,114
24,102
25,95
26,103
27,98
28,99
29,81
30,105
31,90
32,127
33,76
34,96
35,108
36,112
37,98
38,100
39,108
40,95
41,113
42,105
43,95
44,118
45,75
46,111
47,103
48,87
49,106
50,89
51,114
52,85
53,113
54,105
55,87
56,89
57,119
58,106
59,113
60,91
61,111
62,101
63,100
64,103
65,88
66,83
67,97
68,104
69,110
70,110
71,109
72,90
73,105
74,115
75,111
76,112
77,94
78,105
79,88
80,95
81,110
82,106
83,106
84,104
85,99
86,94
87,86
88,110
89,108
90,101
91,110
92,119
93,79
94,109
95,105
96,97
97,78
98,95
99,109
100,105
101,101
102,105
103,95
104,85
105,89
106,96
107,91
108,101
109,96
110,89
111,104
112,114
113,91
114,95
115,91
116,100
117,101
118,110
119,102
120,86
121,110
122,99
123,96
124,127
125,98
126,77
127,90
128,103
129,85
130,99
131,102
132,106
133,103
134,106
135,103
136,105
137,87
138,101
139,95
140,97
141,93
142,110
143,116
144,89
145,85
146,108
147,112
148,92
149,98
150,90
151,116
152,95
153,91
154,107
155,103
156,106
157,93
158,106
159,107
160,92
161,110
162,102
163,120
164,96
165,114
166,94
167,88
168,113
169,101
170,106
171,111
172,124
173,106
174,106
175,94
176,92
177,120
178,93
179,96
180,108
181,113
182,104
183,103
184,118
185,84
186,108
187,100
188,86
189,118
190,111
191,102
192,89
193,99
194,102
195,95
196,105
197,106
198,106
199,92
200,90
201,96
202,98
203,87
204,96
205,110
206,109
207,92
208,85
209,123
210,100
211,103
212,98
213,107
214,100
215,110
216,104
217,95
218,117
219,91
220,130
221,108
222,116
223,93
224,112
225,107
226,103
227,90
228,107
229,89
230,88
231,79
232,106
233,91
234,106
235,101
236,108
237,79
238,104
239,98
240,93
241,95
242,92
243,102
244,102
245,81
246,99
247,102
248,100
249,91
250,110
251,87
252,93
253,99
254,109
255,104
256,97
257,108
258,88
259,116
260,121
261,100
262,96
263,92
264,106
265,90
266,85
267,101
268,94
269,111
270,104
271,105
272,109
273,79
274,100
275,92
276,94
277,105
278,100
279,87
280,98
281,97
282,93
283,86
284,79
285,97
286,90
287,101
288,89
289,90
290,111
291,101
292,103
293,93
294,104
295,89
296,85
297,80
298,85
299,98
300,115
301,79
302,87
303,116
304,90
305,111
306,98
307,95
308,102
309,93
310,114
311,109
312,80
313,86
314,104
315,99
316,111
317,82
318,87
319,99
320,105
321,104
322,97
323,98
324,109
325,97
326,112
327,89
328,101
329,90
330,95
331,90
332,90
333,94
334,101
335,96
336,95
337,97
338,101
339,103
340,87
341,88
342,124
343,121
344,85
345,101
346,109
347,105
348,111
349,111
350,96
351,88
352,79
353,105
354,110
355,91
356,97
357,79
358,111
359,80
360,107
361,114
362,103
363,85
364,92
365,104
366,109
367,106
368,93
369,96
370,92
371,92
372,97
373,90
374,96
375,105
376,112
377,87
378,91
379,89
380,95
381,97
382,91
383,85
384,100
385,112
386,107
387,106
388,88
389,90
390,107
391,102
392,101
393,94
394,97
395,99
396,117
397,113
398,118
399,91
400,92
401,82
402,105
403,113
404,93
405,109
406,108
407,96
408,86
409,103
410,98
411,107
412,82
413,104
414,101
415,92
416,86
417,111
418,87
419,85
420,104
421,113
422,105
423,93
424,90
425,98
426,105
427,115
428,111
429,110
430,105
431,108
432,94
433,101
434,94
435,94
436,119
437,93
438,75
439,98
440,98
441,85
442,107
443,85
444,117
445,109
446,109
447,99
448,97
449,106
450,85
451,100
452,99
453,91
454,96
455,100
456,99
457,92
458,98
459,90
460,107
461,109
462,104
463,113
464,105
465,94
466,93
467,101
468,97
469,107
470,104
471,81
472,90
473,96
474,110
475,79
476,96
477,95
478,117
479,86
480,115
481,98
482,95
483,114
484,119
485,93
486,120
487,96
488,102
489,90
490,97
491,101
492,123
493,104
494,97
495,111
496,101
497,106
498,111
499,102
500,103
501,113
502,112
503,94
504,107
505,100
506,111
507,96
508,97
509,82
510,114
511,96
512,101
513,103
514,96
515,114
516,96
517,84
518,112
519,100
520,94
521,101
522,105
523,91
524,98
525,115
526,100
527,99
528,94
529,87
530,104
531,86
532,92
533,93
534,100
535,104
536,87
537,120
538,102
539,114
540,116
541,98
542,97
543,92
544,89
545,103
546,90
547,77
548,104
549,93
550,94
551,101
552,83
553,101
554,126
555,104
556,87
557,95
558,89
559,122
560,89
561,96
562,101
563,99
564,86
565,116
566,96
567,103
568,91
569,105
570,94
571,116
572,66
573,82
574,115
575,88
576,91
577,100
578,89
579,104
580,88
581,96
582,86
583,96
584,114
585,107
586,94
587,92
588,94
589,111
590,108
591,125
592,93
593,100
594,86
595,114
596,108
597,96
598,89
599,89
600,78
601,98
602,103
603,103
604,114
605,109
606,119
607,82
608,90
609,109
610,106
611,105
612,109
613,116
614,100
615,96
616,97
617,102
618,99
619,109
620,94
621,108
622,106
623,112
624,103
625,106
626,90
627,95
628,105
629,83
630,105
631,109
632,94
633,105
634,86
635,109
636,119
637,98
638,92
639,102
640,109
641,96
642,99
643,101
644,94
645,85
646,93
647,102
648,87
649,93
650,120
651,95
652,112
653,98
654,105
655,104
656,91
657,114
658,117
659,108
660,101
661,94
662,111
663,97
664,95
665,103
666,100
667,108
668,93
669,98
670,98
671,94
672,93
673,96
674,80
675,108
676,112
677,119
678,100
679,94
680,99
681,88
682,114
683,100
684,101
685,80
686,95
687,103
688,73
689,84
690,106
691,95
692,93
693,103
694,106
695,91
696,97
697,91
698,95
699,108
700,105
701,123
702,106
703,100
704,99
705,93
706,104
707,95
708,94
709,109
710,100
711,84
712,84
713,98
714,101
715,89
716,105
717,102
718,102
719,99
720,114
721,91
722,101
723,101
724,92
725,103
726,97
727,99
728,106
729,105
730,77
731,96
732,114
733,96
734,115
735,95
736,98
737,98
738,101
739,103
740,91
741,99
742,111
743,98
744,101
745,105
746,99
747,89
748,114
749,109
750,105
751,112
752,104
753,82
754,102
755,98
756,92
757,109
758,107
759,106
760,89
761,118
762,103
763,110
764,108
765,100
766,123
767,108
768,97
769,95
770,114
771,94
772,96
773,106
774,92
775,88
776,115
777,105
778,100
779,92
780,99
781,115
782,97
783,98
784,105
785,110
786,101
787,103
788,94
789,115
790,121
791,89
792,93
793,92
794,113
795,90
796,104
797,106
798,80
799,95
800,108
801,97
802,106
803,110
804,89
805,93
806,99
807,114
808,97
809,94
810,107
811,111
812,94
813,93
814,106
815,111
816,114
817,97
818,99
819,111
820,111
821,98
822,94
823,104
824,94
825,106
826,85
827,102
828,112
829,108
830,101
831,108
832,100
833,101
834,77
835,95
836,92
837,104
838,77
839,99
840,105
841,96
842,90
843,103
844,87
845,111
846,97
847,127
848,104
849,110
850,118
851,113
852,97
853,92
854,112
855,92
856,108
857,101
858,110
859,100
860,97
861,110
862,108
863,105
864,90
865,86
866,75
867,81
868,92
869,109
870,101
871,101
872,99
873,116
874,92
875,98
876,96
877,101
878,96
879,100
880,94
881,88
882,100
883,100
884,119
885,110
886,109
887,92
888,101
889,92
890,91
891,94
892,91
893,91
894,99
895,116
896,101
897,131
898,113
899,97
900,108
901,99
902,106
903,84
904,104
905,91
906,100
907,101
908,105
909,96
910,87
911,90
912,85
913,88
914,88
915,95
916,98
917,96
918,105
919,91
920,86
921,100
922,104
923,110
924,98
925,111
926,106
927,129
928,77
929,99
930,82
931,105
932,106
933,85
934,111
935,96
936,84
937,86
938,100
939,103
940,88
941,101
942,93
943,97
944,93
945,95
946,94
947,106
948,84
949,104
950,113
951,103
952,96
953,88
954,103
955,92
956,105
957,102
958,89
959,99
960,100
961,94
962,85
963,92
964,109
965,103
966,77
967,98
968,111
969,93
970,106
971,94
972,91
973,102
974,99
975,122
976,99
977,105
978,111
979,100
980,99
981,94
982,102
983,93
984,115
985,105
986,85
987,97
988,78
989,119
990,110
991,109
992,83
993,106
994,95
995,98
996,85
997,115
998,104
999,100
