bucket_id,size
0,96
1,82
2,111
3,116
4,93
5,100
6,112
7,105
8,102
9,105
10,104
11,86
12,112
13,115
14,97
15,89
16,87
17,97
18,126
19,95
20,91
21,93
22,96
23,99
24,90
25,106
26,89
27,90
28,104
29,104
30,108
31,121
32,97
33,110
34,103
35,91
36,101
37,110
38,100
39,106
40,86
41,116
42,90
43,89
44,106
45,110
46,92
47,102
48,89
49,131
50,120
51,113
52,106
53,96
54,111
55,92
56,113
57,100
58,80
59,115
60,108
61,85
62,95
63,98
64,89
65,95
66,95
67,100
68,96
69,102
70,100
71,113
72,104
73,93
74,101
75,79
76,107
77,94
78,115
79,96
80,93
81,106
82,99
83,102
84,93
85,89
86,107
87,96
88,106
89,108
90,114
91,91
92,94
93,81
94,97
95,104
96,89
97,113
98,113
99,77
100,115
101,113
102,99
103,122
104,80
105,88
106,99
107,116
108,109
109,94
110,101
111,96
112,95
113,108
114,90
115,114
116,111
117,101
118,112
119,82
120,107
121,91
122,75
123,109
124,97
125,98
126,96
127,109
128,100
129,87
130,91
131,101
132,117
133,98
134,106
135,104
136,86
137,110
138,88
139,108
140,104
141,106
142,106
143,94
144,94
145,84
146,100
147,95
148,117
149,106
150,113
151,100
152,99
153,123
154,85
155,89
156,97
157,108
158,99
159,99
160,115
161,91
162,85
163,103
164,123
165,81
166,104
167,112
168,107
169,108
170,97
171,110
172,96
173,111
174,103
175,88
176,94
177,97
178,96
179,103
180,116
181,93
182,111
183,95
184,83
185,111
186,106
187,111
188,86
189,82
190,110
191,104
192,91
193,90
194,106
195,95
196,94
197,88
198,109
199,127
200,78
201,105
202,96
203,100
204,109
205,104
206,110
207,101
208,103
209,87
210,99
211,100
212,119
213,90
214,110
215,116
216,87
217,82
218,107
219,101
220,101
221,104
222,94
223,91
224,93
225,98
226,93
227,105
228,101
229,93
230,111
231,97
232,97
233,106
234,98
235,92
236,94
237,109
238,100
239,98
240,114
241,96
242,103
243,100
244,114
245,93
246,104
247,109
248,101
249,106
250,110
251,111
252,92
253,82
254,96
255,89
256,97
257,101
258,100
259,98
260,99
261,93
262,90
263,108
264,93
265,103
266,85
267,114
268,89
269,95
270,114
271,100
272,114
273,105
274,97
275,111
276,112
277,96
278,101
279,86
280,105
281,100
282,109
283,109
284,97
285,109
286,111
287,104
288,90
289,102
290,92
291,96
292,96
293,83
294,91
295,103
296,101
297,96
298,97
299,112
300,108
301,98
302,108
303,107
304,85
305,103
306,87
307,111
308,98
309,119
310,105
311,103
312,84
313,84
314,107
315,95
316,84
317,123
318,96
319,92
320,100
321,98
322,93
323,91
324,91
325,103
326,117
327,79
328,115
329,98
330,97
331,102
332,85
333,109
334,112
335,104
336,107
337,118
338,96
339,101
340,98
341,106
342,100
343,87
344,127
345,110
346,102
347,101
348,118
349,106
350,94
351,116
352,89
353,94
354,101
355,99
356,104
357,98
358,115
359,89
360,95
361,101
362,94
363,103
364,119
365,111
366,89
367,88
368,85
369,101
370,106
371,85
372,100
373,109
374,106
375,105
376,103
377,88
378,86
379,106
380,97
381,91
382,93
383,91
384,95
385,91
386,117
387,107
388,96
389,96
390,98
391,93
392,92
393,99
394,114
395,94
396,86
397,101
398,106
399,99
400,90
401,88
402,104
403,90
404,98
405,103
406,102
407,81
408,112
409,105
410,77
411,114
412,108
413,119
414,111
415,111
416,100
417,98
418,102
419,96
420,121
421,83
422,123
423,100
424,109
425,95
426,100
427,86
428,79
429,98
430,121
431,92
432,85
433,106
434,106
435,104
436,102
437,111
438,106
439,103
440,105
441,105
442,85
443,104
444,90
445,99
446,77
447,125
448,85
449,78
450,118
451,103
452,97
453,96
454,108
455,96
456,93
457,110
458,92
459,95
460,95
461,103
462,109
463,102
464,101
465,85
466,113
467,95
468,93
469,93
470,87
471,97
472,86
473,101
474,104
475,108
476,111
477,113
478,111
479,103
480,98
481,99
482,94
