bucket_id,size
0,2
1,4
2,1
3,0
4,2
5,3
6,0
7,2
8,3
9,3
10,2
11,2
12,0
13,1
14,1
15,1
16,3
17,0
18,5
19,2
20,0
21,1
22,0
23,0
24,2
25,0
26,3
27,2
28,1
29,0
30,2
31,0
32,0
33,5
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,2
42,1
43,2
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,2
54,4
55,1
56,0
57,1
58,4
59,3
60,0
61,2
62,3
63,2
64,0
65,1
66,0
67,4
68,2
69,0
70,5
71,2
72,0
73,3
74,2
75,2
76,2
77,1
78,5
79,1
80,1
81,0
82,0
83,2
84,2
85,1
86,1
87,2
88,2
89,5
90,3
91,3
92,1
93,4
94,1
95,1
96,3
97,0
98,0
99,3
100,5
101,1
102,1
103,2
104,0
105,0
106,1
107,2
108,2
109,0
110,3
111,0
112,4
113,0
114,2
115,0
116,4
117,2
118,0
119,5
120,2
121,0
122,0
123,3
124,2
125,0
126,3
127,0
128,0
129,0
130,3
131,1
132,3
133,0
134,5
135,1
136,0
137,8
138,4
139,2
140,2
141,4
142,2
143,2
144,2
145,0
146,3
147,3
148,2
149,2
150,1
151,5
152,2
153,2
154,2
155,0
156,3
157,1
158,4
159,4
160,3
161,1
162,2
163,6
164,0
165,1
166,3
167,0
168,2
169,1
170,2
171,0
172,3
173,4
174,2
175,0
176,0
177,3
178,0
179,3
180,1
181,2
182,0
183,0
184,2
185,3
186,1
187,0
188,3
189,0
190,1
191,0
192,2
193,0
194,2
195,2
196,0
197,1
198,2
199,1
200,1
201,4
202,4
203,0
204,0
205,1
206,2
207,5
208,2
209,1
210,2
211,1
212,0
213,2
214,0
215,4
216,2
217,1
218,1
219,0
220,0
221,1
222,0
223,3
224,1
225,4
226,0
227,0
228,4
229,2
230,3
231,0
232,1
233,3
234,4
235,3
236,0
237,2
238,0
239,0
240,2
241,4
242,2
243,2
244,0
245,0
246,0
247,1
248,1
249,2
250,3
251,2
252,3
253,3
254,0
255,0
256,0
257,2
258,2
259,2
260,4
261,2
262,4
263,2
264,4
265,1
266,2
267,2
268,0
269,0
270,3
271,0
272,1
273,2
274,0
275,0
276,5
277,0
278,2
279,0
280,2
281,0
282,2
283,3
284,4
285,0
286,3
287,3
288,2
289,1
290,0
291,1
292,2
293,3
294,5
295,2
296,1
297,0
298,1
299,1
300,1
301,2
302,0
303,0
304,2
305,2
306,5
307,1
308,5
309,2
310,4
311,2
312,1
313,2
314,5
315,0
316,4
317,2
318,2
319,0
320,1
321,2
322,0
323,0
324,2
325,0
326,5
327,1
328,3
329,0
330,4
331,0
332,0
333,1
334,2
335,0
336,1
337,4
338,0
339,5
340,1
341,0
342,1
343,0
344,4
345,0
346,2
347,2
348,4
349,2
350,2
351,0
352,0
353,3
354,1
355,1
356,0
357,3
358,0
359,1
360,0
361,2
362,0
363,0
364,1
365,2
366,3
367,0
368,2
369,2
370,1
371,1
372,0
373,2
374,0
375,3
376,2
377,0
378,1
379,5
380,1
381,2
382,2
383,2
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,3
393,2
394,3
395,0
396,6
397,4
398,2
399,3
400,5
401,1
402,3
403,1
404,2
405,3
406,3
407,0
408,2
409,0
410,2
411,1
412,4
413,1
414,0
415,0
416,0
417,1
418,5
419,0
420,2
421,3
422,0
423,0
424,1
425,1
426,2
427,2
428,4
429,0
430,3
431,2
432,0
433,0
434,7
435,2
436,2
437,4
438,5
439,1
440,1
441,3
442,0
443,0
444,4
445,0
446,0
447,2
448,2
449,4
450,0
451,2
452,0
453,1
454,2
455,0
456,2
457,0
458,3
459,3
460,3
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,5
470,3
471,0
472,0
473,2
474,4
475,1
476,1
477,0
478,1
479,2
480,1
481,1
482,0
483,1
484,3
485,6
486,1
487,1
488,3
489,0
490,1
491,1
492,4
493,0
494,2
495,5
496,0
497,1
498,3
499,3
500,0
501,0
502,1
503,0
504,2
505,1
506,4
507,1
508,1
509,1
510,0
511,2
512,0
513,5
514,4
515,3
516,2
517,0
518,2
519,3
520,3
521,0
522,1
523,2
524,2
525,1
526,3
527,1
528,2
529,4
530,2
531,1
532,2
533,1
534,0
535,0
536,1
537,1
538,0
539,4
540,1
541,0
542,1
543,3
544,6
545,0
546,3
547,5
548,3
549,5
550,4
551,0
552,0
553,3
554,0
555,4
556,0
557,2
558,1
559,3
560,0
561,0
562,1
563,2
564,5
565,1
566,1
567,0
568,4
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,3
577,0
578,0
579,3
580,0
581,1
582,2
583,2
584,0
585,1
586,3
587,1
588,2
589,2
590,3
591,2
592,3
593,0
594,0
595,2
596,1
597,2
598,0
599,0
600,0
601,2
602,2
603,2
604,0
605,1
606,1
607,2
608,1
609,0
610,2
611,3
612,5
613,1
614,1
615,3
616,3
617,2
618,3
619,0
620,1
621,5
622,2
623,2
624,6
625,3
626,1
627,2
628,2
629,2
630,1
631,4
632,3
633,2
634,1
635,2
636,0
637,1
638,0
639,0
640,1
641,0
642,4
643,2
644,2
645,2
646,3
647,1
648,1
649,2
650,2
651,3
652,3
653,3
654,3
655,2
656,0
657,0
658,2
659,0
660,2
661,3
662,4
663,0
664,6
665,1
666,0
667,2
668,5
669,3
670,3
671,0
672,3
673,0
674,0
675,3
676,2
677,2
678,2
679,3
680,0
681,3
682,2
683,0
684,3
685,3
686,0
687,1
688,3
689,2
690,1
691,3
692,0
693,4
694,2
695,4
696,0
697,2
698,1
699,0
700,3
701,3
702,4
703,0
704,1
705,1
706,3
707,0
708,0
709,1
710,3
711,3
712,2
713,3
714,3
715,1
716,1
717,0
718,0
719,0
720,2
721,2
722,5
723,0
724,2
725,0
726,3
727,2
728,3
729,2
730,1
731,2
732,2
733,2
734,1
735,2
736,5
737,3
738,3
739,5
740,3
741,0
742,2
743,0
744,1
745,1
746,0
747,0
748,2
749,0
750,2
751,3
752,4
753,1
754,3
755,0
756,3
757,0
758,0
759,0
760,1
761,2
762,0
763,3
764,2
765,2
766,1
767,2
768,2
769,2
770,3
771,1
772,4
773,0
774,3
775,0
776,0
777,0
778,0
779,5
780,0
781,5
782,1
783,0
784,2
785,0
786,0
787,3
788,1
789,0
790,1
791,0
792,2
793,1
794,2
795,4
796,0
797,2
798,0
799,4
800,4
801,2
802,2
803,0
804,1
805,2
806,1
807,3
808,0
809,0
810,4
811,2
812,3
813,3
814,1
815,0
816,6
817,0
818,2
819,2
820,1
821,4
822,3
823,2
824,1
825,3
826,3
827,0
828,1
829,1
830,0
831,2
832,1
833,1
834,1
835,2
836,3
837,6
838,3
839,0
840,0
841,0
842,3
843,0
844,3
845,0
846,2
847,0
848,6
849,1
850,0
851,2
852,4
853,1
854,2
855,1
856,2
857,2
858,1
859,4
860,0
861,3
862,2
863,3
864,2
865,0
866,0
867,1
868,0
869,0
870,7
871,0
872,1
873,1
874,2
875,1
876,3
877,1
878,0
879,0
880,3
881,2
882,0
883,0
884,2
885,3
886,1
887,1
888,2
889,2
890,0
891,0
892,1
893,2
894,4
895,2
896,1
897,2
898,1
899,2
900,0
901,3
902,4
903,3
904,2
905,1
906,5
907,2
908,0
909,4
910,2
911,3
912,4
913,4
914,1
915,4
916,1
917,2
918,1
919,0
920,0
921,0
922,0
923,2
924,2
925,0
926,2
927,1
928,1
929,0
930,2
931,0
932,0
933,2
934,0
935,0
936,1
937,3
938,6
939,3
940,2
941,3
942,3
943,2
944,3
945,6
946,1
947,3
948,2
949,1
950,4
951,2
952,2
953,1
954,2
955,1
956,2
957,0
958,3
959,1
