bucket_id,size
0,96
1,95
2,118
3,99
4,92
5,110
6,104
7,127
8,114
9,103
10,100
11,84
12,99
13,105
14,99
15,99
16,80
17,103
18,115
19,102
20,100
21,97
22,89
23,108
24,102
25,115
26,97
27,93
28,95
29,96
30,113
31,113
32,99
33,99
34,97
35,105
36,103
37,74
38,69
39,97
40,101
41,97
42,100
43,111
44,88
45,98
46,86
47,107
48,90
49,92
50,89
51,89
52,116
53,107
54,107
55,92
56,92
57,95
58,105
59,112
60,83
61,89
62,106
63,99
64,86
65,94
66,113
67,77
68,106
69,119
70,115
71,113
72,92
73,100
74,104
75,101
76,94
77,111
78,95
79,103
80,119
81,105
82,105
83,110
84,101
85,111
86,97
87,106
88,86
89,95
90,104
91,105
92,99
93,105
94,101
95,94
96,100
97,102
98,100
99,96
100,78
101,102
102,100
103,91
104,104
105,100
106,107
107,96
108,98
109,102
110,99
111,79
112,89
113,83
114,103
115,97
116,97
117,104
118,93
119,107
120,104
121,98
122,112
123,105
124,114
125,100
126,105
127,107
128,85
129,84
130,103
131,102
132,96
133,101
134,103
135,94
136,97
137,98
138,81
139,102
140,110
141,91
142,101
143,133
144,99
145,104
146,103
147,108
148,102
149,91
150,104
151,114
152,100
153,94
154,108
155,114
156,106
157,104
158,82
159,91
160,103
161,112
162,91
163,98
164,105
165,93
166,93
167,101
168,107
169,92
170,103
171,119
172,101
173,93
174,93
175,102
176,74
177,95
178,114
179,112
180,97
181,90
182,95
183,95
184,105
185,112
186,90
187,110
188,114
189,95
190,101
191,105
192,89
193,86
194,100
195,113
196,110
197,92
198,103
199,95
200,100
201,105
202,100
203,92
204,100
205,91
206,109
207,101
208,108
209,101
210,90
211,100
212,102
213,94
214,87
215,87
216,115
217,101
218,86
219,88
220,105
221,85
222,92
223,95
224,93
225,77
226,101
227,107
228,110
229,88
230,120
231,106
232,108
233,113
234,101
235,97
236,89
237,127
238,109
239,103
240,100
241,97
242,104
243,99
244,92
245,97
246,125
247,91
248,90
249,107
250,94
251,104
252,108
253,112
254,104
255,110
256,112
257,110
258,107
259,104
260,89
261,123
262,105
263,107
264,86
