bucket_id,size
0,102
1,85
2,103
3,106
4,111
5,98
6,98
7,95
8,95
9,87
10,112
11,83
12,100
13,101
14,119
15,90
16,112
17,111
18,95
19,110
20,103
21,93
22,82
23,101
24,103
25,104
26,105
27,116
28,76
29,109
30,98
31,79
32,121
33,88
34,112
35,103
36,106
37,116
38,122
39,112
40,84
41,94
42,95
43,98
44,93
45,114
46,100
47,114
48,99
49,96
50,106
51,113
52,101
53,90
54,92
55,85
56,102
57,109
58,105
59,87
60,85
61,86
62,83
63,108
64,88
65,107
66,102
67,110
68,96
69,74
70,97
71,98
72,92
73,109
74,91
75,104
76,88
77,103
78,106
79,91
80,98
81,95
82,98
83,111
84,82
85,101
86,101
87,119
88,90
89,120
90,109
91,108
92,74
93,101
94,93
95,82
96,94
97,105
98,104
99,111
100,89
101,96
102,82
103,105
104,95
105,103
106,117
107,105
108,110
109,105
110,115
111,101
112,97
113,94
114,101
115,103
116,95
117,106
118,103
119,92
120,126
121,104
122,94
123,97
124,92
125,90
126,111
127,96
128,112
129,93
130,108
131,105
132,86
133,86
134,82
135,90
136,104
137,117
138,108
139,101
140,105
141,107
142,108
143,105
144,105
145,98
146,100
147,106
148,71
149,100
150,101
151,93
152,74
153,100
154,101
155,123
156,110
157,111
158,109
159,91
160,113
161,90
162,103
163,100
164,101
165,103
166,108
167,101
168,105
169,93
170,110
171,100
172,92
173,93
174,105
175,105
176,107
177,82
178,102
179,109
180,89
181,85
182,89
183,108
184,81
185,101
186,108
187,98
188,108
189,102
190,106
191,101
192,107
193,92
194,103
195,96
196,95
197,98
198,96
199,110
200,119
201,103
202,105
203,113
204,98
205,97
206,74
207,113
208,107
209,107
210,108
211,102
212,96
213,99
214,86
215,120
216,102
217,107
218,100
219,100
220,109
221,105
222,100
223,116
224,106
225,113
226,93
227,111
228,105
229,87
230,81
231,102
232,112
233,97
234,106
235,113
236,102
237,89
238,99
239,104
240,84
241,96
242,92
243,92
244,104
245,94
246,99
247,99
248,99
249,90
250,109
251,102
252,103
253,98
254,101
255,98
256,104
257,109
258,119
259,93
260,97
261,100
262,105
263,92
264,99
265,123
266,85
267,121
268,111
269,100
270,87
271,106
272,83
273,87
274,104
275,113
276,79
277,98
278,98
279,96
280,123
281,99
282,92
283,100
284,78
285,85
286,105
287,105
288,100
289,89
290,96
291,96
292,120
293,105
294,100
295,93
296,99
297,101
298,92
299,107
300,101
301,107
302,100
303,95
304,92
305,101
306,103
307,77
308,106
309,95
310,103
311,91
312,101
313,112
314,104
315,109
316,89
317,102
318,119
319,84
320,103
321,93
322,103
323,111
324,91
325,114
326,92
327,106
328,106
329,94
330,104
331,105
332,91
333,83
334,114
335,110
336,103
337,103
338,93
339,77
340,84
341,105
342,83
343,110
344,106
345,94
346,98
347,98
348,113
349,81
350,101
351,88
352,97
353,103
354,102
355,85
356,92
357,110
358,95
359,83
360,109
361,92
362,96
363,111
364,95
365,97
366,99
367,92
368,100
369,88
370,114
371,109
372,113
373,94
374,99
375,97
376,99
377,99
378,91
379,96
380,111
381,105
382,116
383,99
384,78
385,86
386,115
387,101
388,96
389,101
390,96
391,85
392,112
393,110
394,107
395,101
396,95
397,101
398,101
399,86
400,104
401,92
402,107
403,108
404,105
405,93
406,106
407,96
408,107
409,115
410,104
411,71
412,109
413,95
414,112
415,100
416,90
417,77
418,100
419,108
420,81
421,114
422,93
423,101
424,107
425,111
426,90
427,80
428,109
429,106
430,98
431,102
432,106
433,109
434,110
435,109
436,86
437,96
438,100
439,95
440,102
441,107
442,106
443,96
444,102
445,124
446,110
447,100
448,115
449,88
450,111
451,97
452,107
453,99
454,97
455,93
456,112
457,123
458,89
459,86
460,109
461,93
462,100
463,109
464,98
465,95
466,107
467,104
468,90
469,96
470,114
471,108
472,95
473,87
474,91
475,105
476,94
477,99
478,103
479,111
480,88
481,100
482,111
483,116
484,93
485,106
486,93
487,100
488,102
489,102
490,102
491,101
492,108
493,86
494,105
495,109
496,119
497,94
498,99
499,103
500,89
501,98
502,102
503,100
504,105
505,87
506,83
507,98
508,94
509,90
510,84
511,101
512,115
513,87
514,91
515,102
516,85
517,89
518,114
519,107
520,102
521,113
522,88
523,104
524,100
525,97
526,115
527,95
528,106
529,102
530,89
531,107
532,102
533,82
534,98
535,86
536,102
537,88
538,111
539,94
540,98
541,106
542,100
543,93
544,110
545,93
546,79
547,95
548,88
549,89
550,113
551,118
552,90
553,92
554,94
555,97
556,98
557,94
558,103
559,113
560,106
561,92
562,116
563,94
564,83
565,101
566,74
567,88
568,104
569,97
570,105
571,106
572,108
573,98
574,98
575,86
576,94
577,121
578,94
579,108
580,81
581,95
582,92
583,86
584,100
585,107
586,107
587,93
588,114
589,90
590,95
591,119
592,106
593,110
594,104
595,99
596,106
597,87
598,107
599,106
600,89
601,112
602,108
603,96
604,89
605,103
606,99
607,100
608,80
609,98
610,99
611,111
612,92
613,95
614,95
615,88
616,102
617,102
618,106
619,99
620,103
621,104
622,100
623,131
624,94
625,97
626,88
627,112
628,92
629,102
630,87
631,103
632,96
633,107
634,121
635,97
636,101
637,121
638,119
639,89
640,90
641,101
642,96
643,101
644,92
645,113
646,111
647,113
648,107
649,103
650,87
651,115
652,110
653,86
654,112
655,101
656,95
657,97
658,96
659,95
660,98
661,111
662,72
663,104
664,101
665,100
666,106
667,99
668,116
669,109
670,111
671,93
672,99
673,87
674,78
675,100
676,122
677,84
678,103
679,120
680,97
681,113
682,94
683,107
684,80
685,102
686,106
687,103
688,99
689,99
690,97
691,86
692,103
693,83
694,84
695,98
696,98
697,105
698,96
699,97
700,119
701,87
702,100
703,85
704,111
705,95
706,97
707,107
708,119
709,93
710,105
711,94
712,107
713,98
714,106
