bucket_id,size
0,97
1,102
2,107
3,108
4,105
5,118
6,98
7,76
8,102
9,99
10,111
11,115
12,93
13,104
14,103
15,98
16,111
17,85
18,91
19,105
20,98
21,94
22,107
23,99
24,94
25,97
26,92
27,87
28,97
29,126
30,84
31,87
32,85
33,110
34,90
35,121
36,108
37,87
38,114
39,106
40,108
41,106
42,106
43,97
44,99
45,95
46,100
47,95
48,98
49,109
50,113
51,92
52,102
53,83
54,92
55,110
56,103
57,93
58,106
59,90
60,101
61,107
62,89
63,99
64,108
65,90
66,80
67,121
68,95
69,98
70,94
71,103
72,103
73,94
74,98
75,93
76,93
77,97
78,120
79,115
80,84
81,104
82,89
83,105
84,92
85,105
86,112
87,107
88,82
89,88
90,110
91,97
92,98
93,102
94,102
95,98
96,99
97,94
98,80
99,103
100,94
101,77
102,100
103,96
104,98
105,96
106,100
107,96
108,113
109,96
110,90
111,94
112,98
113,109
114,106
115,106
116,107
117,83
118,92
119,105
120,89
121,108
122,98
123,81
124,105
125,87
126,94
127,86
128,81
129,84
130,118
131,88
132,98
133,90
134,95
135,92
136,79
137,107
138,96
139,97
140,105
141,109
142,93
143,97
144,84
145,104
146,98
147,83
148,104
149,103
150,94
151,103
152,105
153,104
154,91
155,105
156,89
157,103
158,105
159,90
160,109
161,106
162,86
163,104
164,95
165,97
166,87
167,111
168,109
169,95
170,104
171,97
172,95
173,134
174,114
175,92
176,94
177,89
178,94
179,108
180,96
181,100
182,98
183,106
184,99
185,114
186,121
187,99
188,113
189,78
190,116
191,113
192,104
193,104
194,101
195,120
196,123
197,97
198,106
199,95
200,113
201,115
202,100
203,112
204,92
205,102
206,100
207,119
208,95
209,99
210,100
211,109
212,104
213,87
214,89
215,110
216,93
217,116
218,92
219,98
220,104
221,97
222,98
223,104
224,111
225,116
226,116
227,89
228,79
229,89
230,107
231,113
232,111
233,104
234,104
235,88
236,97
237,113
238,108
239,102
240,84
241,111
242,88
243,113
244,88
245,93
246,102
247,89
248,103
249,97
250,109
251,113
252,100
253,112
254,100
255,105
256,101
