bucket_id,size
0,140
1,149
2,123
3,139
4,116
5,146
6,138
7,152
8,128
9,131
10,122
11,134
12,150
13,99
14,138
15,136
16,152
17,131
18,144
19,143
20,129
21,135
22,155
23,125
24,138
25,142
26,134
27,160
28,136
29,129
30,113
31,134
32,138
33,141
34,150
35,133
36,141
37,151
38,144
39,134
40,124
41,131
42,134
43,127
44,137
45,149
46,153
47,127
48,123
49,137
50,132
51,166
52,134
53,182
54,149
55,159
56,132
57,171
58,133
59,150
60,143
61,154
62,113
63,148
64,141
65,112
66,145
67,151
68,137
69,143
70,136
71,140
72,155
73,142
74,132
75,145
76,129
77,153
78,124
79,159
80,138
81,162
82,155
83,156
84,142
85,147
86,142
87,154
88,140
89,163
90,132
91,140
92,138
93,136
94,135
95,175
96,148
97,127
98,141
99,137
100,150
101,163
102,161
103,135
104,149
105,109
106,141
107,152
108,151
109,131
110,139
111,144
112,147
113,159
114,139
115,154
116,137
117,131
118,155
119,152
120,141
121,152
122,153
123,131
124,152
125,127
126,133
127,121
128,141
129,157
130,133
131,125
132,150
133,134
134,137
135,145
136,115
137,115
138,110
139,147
140,127
141,121
142,156
143,148
144,131
145,139
146,147
147,162
148,134
149,119
150,139
151,131
152,151
153,158
154,162
155,129
156,158
157,135
158,148
159,135
160,137
161,165
162,138
163,153
164,133
165,130
166,166
167,126
168,148
169,155
170,152
171,148
172,145
173,136
174,144
175,173
176,154
177,142
178,154
179,134
180,157
181,134
182,134
183,161
184,141
185,153
186,134
187,142
188,149
189,125
190,127
191,143
192,141
193,140
194,135
195,148
196,140
197,141
198,149
199,156
200,138
201,166
202,127
203,139
204,138
205,151
206,149
207,156
208,139
209,150
210,135
211,127
212,140
213,167
214,150
215,153
216,155
217,142
218,149
219,141
220,146
221,150
222,124
223,117
224,133
225,124
226,141
227,117
228,120
229,159
230,146
231,164
232,144
233,164
234,143
235,151
236,133
237,137
238,157
239,138
240,131
241,148
242,156
243,144
244,150
245,175
246,144
247,180
248,140
249,138
250,151
251,151
252,152
253,133
254,128
255,135
256,136
257,134
258,140
259,147
260,170
261,159
262,154
263,138
264,142
265,169
266,129
267,133
268,154
269,141
270,127
271,157
272,127
273,145
274,158
275,150
276,149
277,140
278,138
279,148
280,152
281,143
282,141
283,141
284,155
285,143
286,130
287,149
288,145
289,139
290,147
291,152
292,131
293,145
294,164
295,126
296,166
297,150
298,134
299,159
300,133
301,163
302,154
303,138
304,163
305,151
306,147
307,157
308,139
309,158
310,152
311,134
312,141
313,142
314,146
315,149
316,146
317,139
318,143
319,126
320,149
