bucket_id,size
0,111
1,73
2,88
3,70
4,85
5,70
6,73
7,64
8,89
9,58
10,61
11,55
12,58
13,50
14,61
15,61
16,63
17,74
18,57
19,53
20,50
21,54
22,51
23,54
24,61
25,70
26,64
27,66
28,51
29,70
30,57
31,71
32,56
33,71
34,66
35,73
36,77
37,68
38,82
39,66
40,70
41,71
42,66
43,80
44,78
45,89
46,78
47,95
48,84
49,84
50,73
51,100
52,103
53,86
54,86
55,93
56,93
57,99
58,104
59,118
60,107
61,101
62,117
63,144
64,120
65,123
66,122
67,124
68,110
69,115
70,115
71,110
72,102
73,129
74,118
75,128
76,122
77,126
78,128
79,114
80,125
81,124
82,113
83,115
84,117
85,112
86,112
87,97
88,101
89,121
90,115
91,100
92,134
93,101
94,116
95,106
96,97
97,83
98,97
99,90
100,101
101,87
102,96
103,95
104,88
105,88
106,76
107,88
108,81
109,64
110,75
111,54
112,73
113,61
114,73
115,61
116,67
117,59
118,58
119,60
120,50
121,67
122,49
123,54
124,50
125,49
126,59
127,44
128,51
129,43
130,40
131,32
132,52
133,40
134,52
135,43
136,37
137,50
138,42
139,36
140,46
141,34
142,43
143,58
144,48
145,47
146,43
147,45
148,49
149,63
150,57
151,48
152,55
153,45
154,64
155,56
156,72
157,55
158,69
159,68
160,68
161,69
162,76
163,54
164,67
165,87
166,76
167,85
168,71
169,90
170,96
171,109
172,88
173,112
174,78
175,90
176,72
177,90
178,91
179,104
180,101
181,109
182,114
183,96
184,103
185,108
186,116
187,102
188,108
189,102
190,92
191,95
192,107
193,95
194,111
195,114
196,115
197,128
198,95
199,114
200,96
201,103
202,110
203,90
204,108
205,104
206,86
207,98
208,76
209,87
210,96
211,82
212,98
213,97
214,83
215,85
216,81
217,66
218,78
219,76
220,77
221,66
222,78
223,67
224,59
225,64
226,59
227,49
228,55
229,48
230,56
231,53
232,44
233,48
234,45
235,45
236,45
237,43
238,47
239,50
240,38
241,39
242,32
243,28
244,27
245,34
246,34
247,32
248,39
249,37
250,30
251,32
252,40
253,34
254,31
255,43
256,44
257,30
258,42
259,41
260,35
261,60
262,33
263,40
264,51
265,45
266,57
267,58
268,59
269,59
270,67
271,67
272,57
273,55
274,70
275,70
276,87
277,73
278,91
279,79
280,82
281,80
282,79
283,88
284,88
285,92
286,100
287,100
288,89
289,102
290,122
291,107
292,115
293,109
294,98
295,117
296,105
297,105
298,139
299,120
300,110
301,133
302,110
303,101
304,131
305,126
306,119
307,114
308,116
309,131
310,112
311,124
312,102
313,97
314,115
315,127
316,115
317,108
318,99
319,118
320,95
321,85
322,93
323,90
324,84
325,88
326,95
327,93
328,70
329,89
330,66
331,87
332,74
333,61
334,67
335,81
336,72
337,58
338,65
339,52
340,56
341,55
342,53
343,38
344,52
345,50
346,56
347,53
348,51
349,38
350,32
351,40
352,35
353,26
354,30
355,36
356,24
357,28
358,34
359,31
360,34
361,33
362,33
363,36
364,39
365,36
366,37
367,33
368,44
369,43
370,31
371,57
372,50
373,53
374,46
375,55
376,43
377,62
378,46
379,62
380,60
381,63
382,71
383,68
384,71
385,86
386,76
387,78
388,82
389,90
390,84
391,101
392,93
393,104
394,87
395,103
396,105
397,115
398,111
399,110
400,94
401,123
402,131
403,129
404,109
405,120
406,111
407,128
408,124
409,139
410,149
411,160
412,132
413,135
414,118
415,131
416,122
417,128
418,136
419,144
420,112
421,143
422,135
423,140
424,142
425,138
426,119
427,150
428,127
429,122
430,121
431,110
432,103
433,135
434,127
435,95
